image_path,source_folder,original_class,clean_class
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_000.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_001.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_002.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_003.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_004.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_005.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_006.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_007.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_008.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_009.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_010.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_011.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_012.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_013.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_014.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_015.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_016.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_017.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_018.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_019.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_020.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_021.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_022.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_023.jpeg,add,Band neutrophil,Band neutrophil
