image_path,clean_class
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_100102.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_101381.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_101611.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_102039.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_102750.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_10387.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_10622.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_107595.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_107876.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_111710.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_112418.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_114542.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_114899.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_115323.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_115777.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_116477.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_119131.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_119883.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_120278.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_120688.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_121453.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_121897.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_1223.jpg,basophil
