path,classification,diameter,camera resolution
add\Band neutrophil\Band neutrophil_000.jpeg,Band neutrophil,11.7,1.6M
add\Band neutrophil\Band neutrophil_001.jpeg,Band neutrophil,13.6,1.6M
add\Band neutrophil\Band neutrophil_002.jpeg,Band neutrophil,10,1.6M
add\Band neutrophil\Band neutrophil_003.jpeg,Band neutrophil,12,1.6M
add\Band neutrophil\Band neutrophil_004.jpeg,Band neutrophil,13.3,1.6M
add\Band neutrophil\Band neutrophil_005.jpeg,Band neutrophil,9.1,1.6M
add\Band neutrophil\Band neutrophil_006.jpeg,Band neutrophil,8.9,1.6M
add\Band neutrophil\Band neutrophil_007.jpeg,Band neutrophil,10.4,5M
add\Band neutrophil\Band neutrophil_008.jpeg,Band neutrophil,11.4,5M
add\Band neutrophil\Band neutrophil_009.jpeg,Band neutrophil,15.6,5M
add\Band neutrophil\Band neutrophil_010.jpeg,Band neutrophil,12.4,5M
add\Band neutrophil\Band neutrophil_011.jpeg,Band neutrophil,11.8,5M
add\Band neutrophil\Band neutrophil_012.jpeg,Band neutrophil,13,5M
add\Band neutrophil\Band neutrophil_013.jpeg,Band neutrophil,11.9,5M
add\Band neutrophil\Band neutrophil_014.jpeg,Band neutrophil,8.2,5M
add\Band neutrophil\Band neutrophil_015.jpeg,Band neutrophil,12.5,5M
add\Band neutrophil\Band neutrophil_016.jpeg,Band neutrophil,7.4,5M
add\Band neutrophil\Band neutrophil_017.jpeg,Band neutrophil,8.8,5M
add\Band neutrophil\Band neutrophil_018.jpeg,Band neutrophil,8.9,5M
add\Band neutrophil\Band neutrophil_019.jpeg,Band neutrophil,11.5,6M
add\Band neutrophil\Band neutrophil_020.jpeg,Band neutrophil,10.8,6M
add\Band neutrophil\Band neutrophil_021.jpeg,Band neutrophil,14.8,6M
add\Band neutrophil\Band neutrophil_022.jpeg,Band neutrophil,9.4,6M
add\Band neutrophil\Band neutrophil_023.jpeg,Band neutrophil,10.1,6M
add\Band neutrophil\Band neutrophil_024.jpeg,Band neutrophil,9.5,6M
add\Band neutrophil\Band neutrophil_025.jpeg,Band neutrophil,12.6,6M
add\Band neutrophil\Band neutrophil_026.jpeg,Band neutrophil,9.8,6M
add\Band neutrophil\Band neutrophil_027.jpeg,Band neutrophil,14.7,6M
add\Band neutrophil\Band neutrophil_028.jpeg,Band neutrophil,14.3,6M
add\Band neutrophil\Band neutrophil_029.jpeg,Band neutrophil,14.3,6M
add\Band neutrophil\Band neutrophil_030.jpeg,Band neutrophil,15.1,6M
add\Band neutrophil\Band neutrophil_031.jpeg,Band neutrophil,14.5,6M
add\Band neutrophil\Band neutrophil_032.jpeg,Band neutrophil,9.7,6M
add\Band neutrophil\Band neutrophil_033.jpeg,Band neutrophil,10,6M
add\Band neutrophil\Band neutrophil_034.jpeg,Band neutrophil,10.5,6M
