path,classification,diameter
main\Band eosinophil\Band eosinophil_0000.jpeg,Band eosinophil,13.4
main\Band eosinophil\Band eosinophil_0001.jpeg,Band eosinophil,10.6
main\Band eosinophil\Band eosinophil_0002.jpeg,Band eosinophil,11.5
main\Band eosinophil\Band eosinophil_0003.jpeg,Band eosinophil,12.4
main\Band eosinophil\Band eosinophil_0004.jpeg,Band eosinophil,13
main\Band eosinophil\Band eosinophil_0005.jpeg,Band eosinophil,14.8
main\Band eosinophil\Band eosinophil_0006.jpeg,Band eosinophil,9.1
main\Band eosinophil\Band eosinophil_0007.jpeg,Band eosinophil,9.5
main\Band eosinophil\Band eosinophil_0008.jpeg,Band eosinophil,9.5
main\Band eosinophil\Band eosinophil_0009.jpeg,Band eosinophil,12
main\Band eosinophil\Band eosinophil_0010.jpeg,Band eosinophil,13
main\Band eosinophil\Band eosinophil_0011.jpeg,Band eosinophil,9.5
main\Band eosinophil\Band eosinophil_0012.jpeg,Band eosinophil,11.5
main\Band eosinophil\Band eosinophil_0013.jpeg,Band eosinophil,13.4
main\Band eosinophil\Band eosinophil_0014.jpeg,Band eosinophil,14.8
main\Band eosinophil\Band eosinophil_0015.jpeg,Band eosinophil,15.3
main\Band eosinophil\Band eosinophil_0016.jpeg,Band eosinophil,17.3
main\Band eosinophil\Band eosinophil_0017.jpeg,Band eosinophil,13
main\Band eosinophil\Band eosinophil_0018.jpeg,Band eosinophil,11.5
main\Band eosinophil\Band eosinophil_0019.jpeg,Band eosinophil,12
main\Band eosinophil\Band eosinophil_0020.jpeg,Band eosinophil,14.4
main\Band eosinophil\Band eosinophil_0021.jpeg,Band eosinophil,10.6
main\Band eosinophil\Band eosinophil_0022.jpeg,Band eosinophil,8.6
main\Band eosinophil\Band eosinophil_0023.jpeg,Band eosinophil,12
main\Band eosinophil\Band eosinophil_0024.jpeg,Band eosinophil,9.1
main\Band eosinophil\Band eosinophil_0025.jpeg,Band eosinophil,12
main\Band eosinophil\Band eosinophil_0026.jpeg,Band eosinophil,14.8
main\Band eosinophil\Band eosinophil_0027.jpeg,Band eosinophil,9.5
main\Band eosinophil\Band eosinophil_0028.jpeg,Band eosinophil,11
main\Band eosinophil\Band eosinophil_0029.jpeg,Band eosinophil,12
main\Band eosinophil\Band eosinophil_0030.jpeg,Band eosinophil,13.9
main\Band eosinophil\Band eosinophil_0031.jpeg,Band eosinophil,12
main\Band eosinophil\Band eosinophil_0032.jpeg,Band eosinophil,14.4
main\Band eosinophil\Band eosinophil_0033.jpeg,Band eosinophil,14.8
main\Band eosinophil\Band eosinophil_0034.jpeg,Band eosinophil,15.3
main\Band eosinophil\Band eosinophil_0035.jpeg,Band eosinophil,16.3
main\Band eosinophil\Band eosinophil_0036.jpeg,Band eosinophil,17.3
main\Band eosinophil\Band eosinophil_0037.jpeg,Band eosinophil,11.5
main\Band eosinophil\Band eosinophil_0038.jpeg,Band eosinophil,13
main\Band eosinophil\Band eosinophil_0039.jpeg,Band eosinophil,14.8
main\Band eosinophil\Band eosinophil_0040.jpeg,Band eosinophil,15.8
main\Band eosinophil\Band eosinophil_0041.jpeg,Band eosinophil,16.3
